rosbagTimestamp,Fx,Fy,Fz,Tx,Ty,Tz
1471539672988679472,-356830.0,-262062.0,-8682157.0,-882.0,87861.0,-13089.0
1471539672989686106,-355090.0,-288404.0,-8718174.0,53.0,84231.0,-12217.0
1471539673003190673,-356652.0,-262885.0,-8717895.0,-877.0,86407.0,-13035.0
1471539673004227264,-336171.0,-250843.0,-8682175.0,-1944.0,85445.0,-12241.0
1471539673009202174,-354807.0,-264725.0,-8682787.0,-884.0,83517.0,-10651.0
1471539673010520315,-335626.0,-274779.0,-8719093.0,-987.0,86167.0,-11431.0
1471539673025715733,-377400.0,-276614.0,-8717478.0,-2285.0,84468.0,-11426.0
1471539673026660082,-355725.0,-288708.0,-8681471.0,-1197.0,83502.0,-12231.0
1471539673029843864,-355176.0,-263342.0,-8682221.0,341.0,85691.0,-13067.0
1471539673032053126,-336171.0,-250843.0,-8682175.0,-1944.0,85445.0,-12241.0
1471539673039192731,-335626.0,-274779.0,-8719093.0,-987.0,86167.0,-11431.0
1471539673040681615,-336171.0,-250843.0,-8682175.0,-1944.0,85445.0,-12241.0
1471539673048675083,-376851.0,-251248.0,-8718227.0,-748.0,86656.0,-12262.0
1471539673049890427,-356566.0,-287947.0,-8753847.0,-1165.0,84947.0,-12184.0
1471539673070748108,-336171.0,-250843.0,-8682175.0,-1944.0,85445.0,-12241.0
1471539673073216289,-379054.0,-275335.0,-8717414.0,-3508.0,86639.0,-11447.0
1471539673075169229,-376010.0,-252009.0,-8645851.0,-780.0,85211.0,-12309.0
1471539673076681470,-375924.0,-277071.0,-8681804.0,-1067.0,83751.0,-11459.0
1471539673085696096,-336171.0,-250843.0,-8682175.0,-1944.0,85445.0,-12241.0
1471539673087127242,-357110.0,-264011.0,-8716930.0,-2122.0,84226.0,-12994.0
1471539673090198943,-357288.0,-263189.0,-8681192.0,-2127.0,85679.0,-13048.0
1471539673092209551,-356566.0,-287947.0,-8753847.0,-1165.0,84947.0,-12184.0
1471539673099620395,-357379.0,-287428.0,-8681407.0,-2419.0,85673.0,-12252.0
1471539673100898327,-357197.0,-238949.0,-8680977.0,-1834.0,85686.0,-13844.0
1471539673108887751,-356921.0,-286302.0,-8682372.0,-1174.0,87855.0,-12293.0
1471539673110539555,-333972.0,-276058.0,-8719157.0,236.0,83996.0,-11410.0
1471539673123083483,-337292.0,-252031.0,-8789323.0,-3152.0,83255.0,-12100.0
1471539673124506431,-357110.0,-264011.0,-8716930.0,-2122.0,84226.0,-12994.0
1471539673127497898,-338105.0,-251512.0,-8716883.0,-4406.0,83980.0,-12168.0
1471539673128674569,-357746.0,-264315.0,-8680227.0,-3372.0,83498.0,-13008.0
1471539673144579735,-335626.0,-274779.0,-8719093.0,-987.0,86167.0,-11431.0
1471539673146003099,-337003.0,-299888.0,-8716812.0,-2544.0,83970.0,-12971.0
1471539673154055695,-335804.0,-273956.0,-8683355.0,-991.0,87620.0,-11485.0
1471539673155055165,-357288.0,-263189.0,-8681192.0,-2127.0,85679.0,-13048.0
1471539673158993265,-377400.0,-276614.0,-8717478.0,-2285.0,84468.0,-11426.0
1471539673160521340,-357379.0,-287428.0,-8681407.0,-2419.0,85673.0,-12252.0
1471539673168518982,-336262.0,-275083.0,-8682390.0,-2236.0,85439.0,-11445.0
1471539673170018191,-377944.0,-252678.0,-8680560.0,-3242.0,83747.0,-12236.0
1471539673183034581,-337469.0,-251208.0,-8753586.0,-3157.0,84709.0,-12154.0
1471539673184552269,-335993.0,-251665.0,-8717912.0,-1939.0,83992.0,-12187.0
1471539673194636371,-355725.0,-288708.0,-8681471.0,-1197.0,83502.0,-12231.0
1471539673196176912,-356919.0,-264572.0,-8681758.0,-3352.0,83506.0,-10632.0
1471539673205505525,-355267.0,-287582.0,-8682436.0,48.0,85684.0,-12271.0
1471539673207012476,-357379.0,-287428.0,-8681407.0,-2419.0,85673.0,-12252.0
1471539673210157944,-355267.0,-287582.0,-8682436.0,48.0,85684.0,-12271.0
1471539673211897373,-336171.0,-250843.0,-8682175.0,-1944.0,85445.0,-12241.0
1471539673219528192,-336084.0,-275905.0,-8718128.0,-2232.0,83985.0,-11391.0
1471539673220501726,-357659.0,-289377.0,-8716180.0,-3660.0,82038.0,-12158.0
1471539673228529783,-334608.0,-276362.0,-8682454.0,-1014.0,83268.0,-11424.0
